dataset,algorithm,fitness,seed,vehicle_count,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset B,ACO,1663.46,7,5,1562.92,319.77,5.43,5,50,81.671,True
Dataset B,ACO,1653.9,14,5,1552.43,334.31,14.71,5,50,81.498,True
Dataset B,ACO,1654.55,21,5,1555.59,324.47,9.68,5,49,81.877,True
Dataset B,ACO,1657.0,28,5,1557.8,323.49,12.0,5,49,81.518,True
Dataset B,ACO,1651.65,35,5,1550.81,324.72,8.43,5,50,81.466,True
Dataset B,ACO,1668.09,42,5,1569.47,321.57,6.17,5,49,81.6,True
Dataset B,ACO,1665.3,49,5,1564.51,323.7,7.94,5,50,81.803,True
Dataset B,ACO,1671.12,56,5,1572.72,319.02,3.98,5,49,81.129,True
Dataset B,ACO,1658.24,63,5,1559.84,317.79,3.99,5,49,71.902,True
Dataset B,ACO,1667.08,70,5,1565.52,342.75,15.57,5,50,69.076,True
Dataset B,ACO,1666.3,77,5,1567.12,331.66,11.78,5,49,82.586,True
Dataset B,ACO,1665.3,84,5,1565.81,332.31,14.88,5,49,80.701,True
Dataset B,ACO,1672.66,91,5,1573.58,334.52,10.8,5,49,80.829,True
Dataset B,ACO,1668.54,98,5,1569.2,332.79,13.41,5,49,81.309,True
Dataset B,ACO,1644.55,105,5,1547.54,320.54,10.15,5,48,80.744,True
Dataset B,ACO,1672.86,112,5,1572.22,324.96,6.45,5,50,80.337,True
Dataset B,ACO,1671.68,119,5,1573.26,320.18,4.15,5,49,81.521,True
Dataset B,ACO,1672.15,126,5,1570.81,334.39,13.45,5,50,81.283,True
Dataset B,ACO,1673.91,133,5,1573.05,324.61,8.63,5,50,81.462,True
Dataset B,ACO,1657.95,140,5,1557.07,326.89,8.88,5,50,81.51,True
Dataset B,ALNS,1665.21,7,5,1563.75,334.63,14.57,5,50,4.223,True
Dataset B,ALNS,1706.21,14,5,1604.23,343.55,19.73,5,50,4.563,True
Dataset B,ALNS,1684.55,21,5,1583.32,336.94,12.34,5,50,5.249,True
Dataset B,ALNS,1641.97,28,5,1540.86,322.0,11.1,5,50,4.29,True
Dataset B,ALNS,1679.6,35,5,1578.18,330.98,14.13,5,50,3.972,True
Dataset B,ALNS,1634.28,42,5,1535.1,322.41,11.73,5,49,4.841,True
Dataset B,ALNS,1656.35,49,5,1555.0,328.52,13.57,5,50,5.098,True
Dataset B,ALNS,1641.43,56,5,1543.0,312.94,4.27,5,49,4.583,True
Dataset B,ALNS,1681.98,63,5,1580.72,338.6,12.63,5,50,5.132,True
Dataset B,ALNS,1647.66,70,5,1546.97,320.15,6.87,5,50,5.504,True
Dataset B,ALNS,1646.86,77,5,1546.41,313.46,4.42,5,50,4.304,True
Dataset B,ALNS,1647.32,84,5,1546.04,329.37,12.77,5,50,5.294,True
Dataset B,ALNS,1647.41,91,5,1548.38,327.32,10.29,5,49,5.918,True
Dataset B,ALNS,1681.41,98,5,1581.57,343.98,18.41,5,49,5.02,True
Dataset B,ALNS,1683.12,105,5,1581.3,339.9,18.18,5,50,4.798,True
Dataset B,ALNS,1666.29,112,5,1567.27,330.95,10.24,5,49,5.069,True
Dataset B,ALNS,1647.42,119,5,1548.97,313.62,4.45,5,49,4.764,True
Dataset B,ALNS,1630.97,126,5,1532.53,310.74,4.39,5,49,5.048,True
Dataset B,ALNS,1651.45,133,5,1550.15,323.26,12.94,5,50,4.626,True
Dataset B,ALNS,1681.29,140,5,1582.29,330.71,10.01,5,49,5.707,True
Dataset B,Hybrid,1653.34,7,5,1601.39,327.42,3.91,5,50,3.832,True
Dataset B,Hybrid,1656.79,14,5,1557.83,323.05,9.55,5,49,3.54,True
Dataset B,Hybrid,1645.07,21,5,1635.81,348.15,17.8,5,50,4.035,True
Dataset B,Hybrid,1652.23,28,5,1551.43,319.03,8.05,5,50,4.317,True
Dataset B,Hybrid,1645.07,35,5,1632.92,348.15,17.18,5,50,4.187,True
Dataset B,Hybrid,1645.07,42,5,1632.92,348.15,17.18,5,50,4.245,True
Dataset B,Hybrid,1616.15,49,5,1517.45,315.45,6.99,5,49,3.978,True
Dataset B,Hybrid,1645.07,56,5,1635.81,348.15,17.8,5,50,4.348,True
Dataset B,Hybrid,1656.62,63,5,1591.99,341.0,16.91,5,50,3.687,True
Dataset B,Hybrid,1658.82,70,5,1560.5,337.47,14.66,5,50,3.659,True
Dataset B,Hybrid,1652.39,77,5,1551.36,327.93,10.3,5,50,4.194,True
Dataset B,Hybrid,1645.07,84,5,1635.81,348.15,17.8,5,50,4.012,True
Dataset B,Hybrid,1650.66,91,5,1595.93,326.58,7.79,5,50,4.133,True
Dataset B,Hybrid,1645.07,98,5,1635.81,348.15,17.8,5,50,4.311,True
Dataset B,Hybrid,1645.07,105,5,1632.92,348.15,17.18,5,50,3.764,True
Dataset B,Hybrid,1645.07,112,5,1635.81,348.15,17.8,5,50,3.892,True
Dataset B,Hybrid,1643.45,119,5,1588.04,336.72,15.75,5,50,4.108,True
Dataset B,Hybrid,1642.11,126,5,1542.72,330.25,13.88,5,49,4.07,True
Dataset B,Hybrid,1640.14,133,5,1596.66,328.98,11.55,5,50,4.414,True
Dataset B,Hybrid,1645.07,140,5,1635.81,348.15,17.8,5,50,4.109,True
