dataset,algorithm,level_label,n_vehicles,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,Hybrid,full,9,7,2852.37,2810.14,330.25,13.99,9,71,9.641,True
Dataset A,Hybrid,full,9,14,2881.54,2822.45,331.5,10.63,9,74,14.453,True
Dataset A,Hybrid,full,9,21,2938.38,2901.24,349.5,18.45,9,74,15.014,True
Dataset A,Hybrid,full,9,28,2931.58,2877.6,346.0,18.23,9,73,14.314,True
Dataset A,Hybrid,full,9,35,2859.16,2815.19,322.2,6.57,9,72,14.774,True
Dataset A,Hybrid,full,9,42,2844.58,2786.29,336.3,14.6,9,73,14.914,True
Dataset A,Hybrid,full,9,49,2891.45,2807.58,325.0,9.94,9,71,13.946,True
Dataset A,Hybrid,full,9,56,2884.91,2749.14,324.5,16.36,9,73,14.097,True
Dataset A,Hybrid,full,9,63,2847.19,2885.95,336.55,15.23,9,73,14.134,True
Dataset A,Hybrid,full,9,70,2905.27,2917.65,337.0,9.39,9,74,14.201,True
Dataset A,Hybrid,moderate,7,7,2829.12,2728.75,409.38,19.86,7,74,14.248,True
Dataset A,Hybrid,moderate,7,14,2826.28,2679.14,400.2,11.4,7,73,14.294,True
Dataset A,Hybrid,moderate,7,21,2835.02,2720.97,420.5,26.82,7,74,15.075,True
Dataset A,Hybrid,moderate,7,28,2857.97,2793.34,420.5,18.3,7,74,14.511,True
Dataset A,Hybrid,moderate,7,35,2814.14,2724.67,403.25,8.48,7,74,14.7,True
Dataset A,Hybrid,moderate,7,42,2792.08,2658.97,394.0,13.0,7,74,14.379,True
Dataset A,Hybrid,moderate,7,49,2814.17,2669.02,408.5,19.98,7,73,14.58,True
Dataset A,Hybrid,moderate,7,56,2794.07,2634.42,388.6,9.6,7,74,14.705,True
Dataset A,Hybrid,moderate,7,63,2803.82,2658.38,409.0,20.36,7,73,14.895,True
Dataset A,Hybrid,moderate,7,70,2807.99,2724.87,415.14,19.95,7,74,15.415,True
Dataset A,Hybrid,severe,6,7,2784.69,2711.0,471.0,15.37,6,74,12.532,True
Dataset A,Hybrid,severe,6,14,2772.8,2620.78,460.0,20.21,6,75,12.644,True
Dataset A,Hybrid,severe,6,21,2749.21,2599.9,451.1,13.05,6,74,13.106,True
Dataset A,Hybrid,severe,6,28,2777.62,2691.85,466.5,12.76,6,74,11.99,True
Dataset A,Hybrid,severe,6,35,2752.61,2629.25,469.85,17.75,6,74,12.321,True
Dataset A,Hybrid,severe,6,42,2757.6,2607.45,469.6,21.5,6,74,12.532,True
Dataset A,Hybrid,severe,6,49,2782.37,2668.12,463.23,20.38,6,75,11.337,True
Dataset A,Hybrid,severe,6,56,2805.15,2658.28,464.95,18.18,6,73,12.955,True
Dataset A,Hybrid,severe,6,63,2757.97,2610.72,460.35,12.49,6,73,12.053,True
Dataset A,Hybrid,severe,6,70,2757.94,2631.49,468.1,15.86,6,74,11.959,True
