dataset,algorithm,level_label,n_vehicles,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset B,Hybrid,full,5,7,1653.34,1601.39,327.42,3.91,5,50,2.124,True
Dataset B,Hybrid,full,5,14,1656.79,1557.83,323.05,9.55,5,49,2.001,True
Dataset B,Hybrid,full,5,21,1645.07,1635.81,348.15,17.8,5,50,2.291,True
Dataset B,Hybrid,full,5,28,1652.23,1551.43,319.03,8.05,5,50,2.471,True
Dataset B,Hybrid,full,5,35,1645.07,1632.92,348.15,17.18,5,50,2.528,True
Dataset B,Hybrid,full,5,42,1645.07,1632.92,348.15,17.18,5,50,2.387,True
Dataset B,Hybrid,full,5,49,1616.15,1517.45,315.45,6.99,5,49,2.421,True
Dataset B,Hybrid,full,5,56,1645.07,1635.81,348.15,17.8,5,50,2.492,True
Dataset B,Hybrid,full,5,63,1656.62,1591.99,341.0,16.91,5,50,2.243,True
Dataset B,Hybrid,full,5,70,1658.82,1560.5,337.47,14.66,5,50,2.087,True
Dataset B,Hybrid,moderate,4,7,1635.92,1580.57,414.87,11.74,4,51,2.239,True
Dataset B,Hybrid,moderate,4,14,1638.34,1613.07,427.7,20.51,4,51,2.479,True
Dataset B,Hybrid,moderate,4,21,1629.11,1580.76,427.7,20.19,4,51,2.384,True
Dataset B,Hybrid,moderate,4,28,1633.14,1531.34,408.33,17.96,4,50,2.2,True
Dataset B,Hybrid,moderate,4,35,1629.11,1582.42,427.7,19.87,4,51,2.337,True
Dataset B,Hybrid,moderate,4,42,1629.11,1582.42,427.7,19.87,4,51,2.481,True
Dataset B,Hybrid,moderate,4,49,1638.34,1613.07,427.7,20.51,4,51,2.226,True
Dataset B,Hybrid,moderate,4,56,1629.11,1580.76,427.7,20.19,4,51,2.085,True
Dataset B,Hybrid,moderate,4,63,1638.34,1613.07,427.7,20.51,4,51,2.537,True
Dataset B,Hybrid,moderate,4,70,1630.34,1526.85,399.85,14.9,4,51,2.175,True
Dataset B,Hybrid,severe,3,7,1612.01,1608.34,549.52,14.36,3,51,2.511,False
Dataset B,Hybrid,severe,3,14,1614.47,1608.74,550.64,16.17,3,51,2.173,False
Dataset B,Hybrid,severe,3,21,1612.78,1608.74,550.64,16.17,3,51,2.359,False
Dataset B,Hybrid,severe,3,28,1614.47,1608.74,550.64,16.17,3,51,2.426,False
Dataset B,Hybrid,severe,3,35,1612.78,1608.74,550.64,16.17,3,51,2.176,False
Dataset B,Hybrid,severe,3,42,1623.65,1611.29,549.52,8.8,3,51,2.377,False
Dataset B,Hybrid,severe,3,49,1612.01,1608.34,549.52,14.36,3,51,2.284,False
Dataset B,Hybrid,severe,3,56,1612.78,1608.74,550.64,16.17,3,51,2.22,False
Dataset B,Hybrid,severe,3,63,1614.47,1608.74,550.64,16.17,3,51,2.211,False
Dataset B,Hybrid,severe,3,70,1612.01,1608.34,549.52,14.36,3,51,2.33,False
