dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,7,2928.775,2976.34,320.5,12.41,10,72,20,10.703,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,14,2918.235,2844.98,292.33,8.26,10,71,23,14.67,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,21,2933.328,2816.24,304.0,14.26,10,73,22,14.765,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,28,2943.075,2873.1,306.35,11.22,10,72,21,14.173,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,35,2966.293,2897.92,308.25,11.75,10,73,23,14.515,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,7,3144.508,3101.28,329.0,15.62,10,74,14,9.482,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,14,3089.188,3073.59,329.0,12.35,10,71,14,10.287,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,21,3115.157,2970.59,343.0,25.63,10,71,14,9.832,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,28,3119.951,3030.22,328.0,13.52,10,72,14,9.615,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,35,3131.69,3089.87,325.0,11.54,10,71,14,9.724,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,7,3209.798,3107.47,351.0,20.58,10,72,12,10.16,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,14,3166.279,3150.79,347.32,21.07,10,73,13,10.067,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,21,3169.39,3144.19,351.0,19.19,10,71,13,10.19,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,28,3198.861,3217.2,338.75,13.97,10,72,12,9.778,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,35,3171.666,3056.61,351.0,17.86,10,72,13,9.95,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,7,3144.627,3137.0,330.5,13.94,10,72,13,9.566,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,14,3131.303,3193.49,345.1,13.24,10,74,14,10.257,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,21,3137.318,3099.41,363.0,29.63,10,71,15,10.54,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,28,3176.151,3175.77,337.75,11.46,10,73,14,9.896,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,35,3161.309,3119.06,326.0,7.82,10,74,14,9.858,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,7,3221.708,3138.95,399.0,37.93,10,72,16,10.147,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,14,3244.314,3180.24,399.0,51.94,10,71,15,10.241,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,21,3216.1,3071.45,357.0,26.52,10,71,16,9.787,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,28,3254.49,3170.28,399.0,49.65,10,72,15,10.158,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,35,3242.627,3220.92,338.42,16.46,10,72,15,9.96,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,7,3218.53,3173.65,332.5,7.83,10,71,14,9.915,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,14,3229.096,3086.5,347.52,25.92,10,70,13,9.986,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,21,3152.899,3089.99,326.25,11.94,10,73,14,10.127,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,28,3205.457,3131.07,349.0,20.9,10,73,14,9.964,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,35,3206.261,3255.55,344.75,15.41,10,73,15,9.934,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,7,3408.166,3344.24,353.08,13.52,10,73,9,8.398,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,14,3397.146,3384.08,355.0,11.24,10,73,9,8.139,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,21,3426.78,3438.37,370.75,16.7,10,72,9,8.38,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,28,3457.234,3400.99,361.0,16.7,10,71,9,7.513,True
Dataset A,Hybrid,25%,1,50;58;60;71;76;77;78;83;84;87,35,3415.177,3320.4,352.0,18.64,10,73,9,8.507,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,7,3383.41,3400.57,360.6,16.85,10,72,9,8.216,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,14,3422.755,3253.64,352.5,16.69,10,72,9,7.962,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,21,3434.318,3375.45,348.49,9.82,10,72,10,8.549,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,28,3423.976,3278.62,400.0,33.58,10,71,9,8.504,True
Dataset A,Hybrid,25%,2,47;55;59;64;69;71;72;82;83;86,35,3406.636,3326.26,375.0,30.58,10,71,9,8.043,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,7,3299.851,3276.5,349.29,15.22,10,73,8,8.389,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,14,3297.193,3184.24,344.0,14.1,10,71,8,7.951,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,21,3285.377,3149.28,332.38,13.55,10,71,8,8.234,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,28,3278.354,3157.0,332.93,9.98,10,72,8,8.212,True
Dataset A,Hybrid,25%,3,49;53;57;69;71;77;80;82;85;87,35,3304.304,3307.54,345.1,13.47,10,72,8,8.103,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,7,3530.309,3631.74,380.5,10.24,10,74,10,8.319,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,14,3545.495,3501.71,366.5,13.55,10,71,10,8.296,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,21,3558.118,3427.77,366.0,16.82,10,71,10,8.613,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,28,3533.567,3474.19,374.5,14.79,10,72,10,8.153,True
Dataset A,Hybrid,25%,4,48;49;55;62;72;74;76;81;83;84,35,3583.53,3550.72,385.78,14.08,10,73,10,8.305,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,7,3734.844,3720.05,406.0,21.12,10,73,10,8.088,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,14,3671.829,3617.02,427.0,28.18,10,74,10,8.304,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,21,3670.309,3668.45,406.0,29.76,10,73,10,8.257,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,28,3631.56,3612.12,406.0,24.58,10,72,10,8.17,True
Dataset A,Hybrid,25%,5,52;55;56;60;61;65;70;74;81;85,35,3678.74,3604.49,406.0,39.67,10,73,10,8.248,True
