dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,7,1631.099,1532.2,318.63,8.97,5,49,12,10.565,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,14,1647.062,1605.6,337.03,10.11,5,51,12,10.977,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,21,1654.04,1552.72,325.8,13.16,5,50,13,11.155,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,28,1644.936,1545.57,335.09,13.69,5,49,12,10.328,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,35,1640.477,1552.88,330.41,12.18,5,50,12,10.721,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,7,1702.783,1627.29,340.11,10.23,5,50,7,8.33,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,14,1687.209,1584.24,331.98,9.09,5,50,8,7.894,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,21,1685.702,1616.82,340.73,9.79,5,51,7,8.336,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,28,1681.59,1610.59,334.94,7.44,5,49,6,8.167,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,35,1702.827,1603.79,340.62,12.63,5,49,7,8.433,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,7,1660.875,1561.97,327.39,12.57,5,49,8,7.861,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,14,1653.727,1592.21,339.8,14.44,5,51,8,7.972,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,21,1655.247,1573.62,319.59,3.38,5,49,8,8.301,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,28,1651.886,1576.45,325.46,11.27,5,50,8,7.894,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,35,1643.674,1546.63,340.26,16.03,5,50,8,8.072,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,7,1713.282,1631.17,337.99,8.29,5,49,8,8.215,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,14,1705.783,1606.92,334.1,8.65,5,49,8,8.148,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,21,1703.433,1654.37,354.46,15.65,5,51,8,7.771,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,28,1713.617,1648.41,338.7,11.35,5,51,9,8.226,True
Dataset B,Hybrid,50%,3,53;55;61;62;65;66;68;70;71;73;75;76,35,1710.567,1671.53,343.98,5.42,5,50,8,8.48,True
