id,name,lat,lon,type,demand_liters,service_min
0,DEPOT_DKRTH_Rayon_Pusat,-7.264214523,112.7532145,depot,0,0
1,JL. WIJAYA KUSUMA JALUR TENGAH,-7.257029,112.748943,park,7425,29.7
2,JL. WIJAYA KUSUMAPEDESTRIAN 1,-7.259244,112.748821,park,1181.25,4.725
3,JL. WIJAYA KUSUMAPEDESTRIAN 2,-7.257029,112.748943,park,896.25,3.585
4,JL. WIJAYA KUSUMAPEDESTRIAN 3,-7.257121,112.749081,park,873.75,3.495
5,JL. WIJAYA KUSUMAPEDESTRIAN 4,-7.259357,112.749017,park,1158.75,4.635
6,JL.. BKR PELAJAR,-7.258047,112.750869,park,1286.25,5.145
7,JL. WALIKOTA MUSTAJAB PEDESTRIAN,-7.260743,112.747025,park,5190,20.76
8,JL. AMBENGAN PEDESTRIAN SISI SMA KOMPLEK,-7.25602778,112.7495833,park,573.75,2.295
9,JL. AMBENGAN JALUR TENGAH SISI BARAT,-7.25613889,112.7533056,park,12082.5,48.33
10,JL. NGEMPLAK DEPAN GARNISUN RETONDE,-7.2595,112.7433889,park,5793.75,23.175
11,RETONDE JL. SLAMET,-7.26169444,112.7493889,park,832.5,3.33
12,RETONDE SONO KEMBANG,-7.27188889,112.7429444,park,615,2.46
13,RETONDE POJOK KAYOON SISI SELATAN,-7.26605556,112.7497528,park,1005,4.02
14,JL. KARIMUN JAWA JALUR TENGAH,-7.273,112.7453611,park,21390,85.56
15,JL. SULAWESI DEPAN TAMAN PERSAHABATAN RETONDE,-7.27636111,112.7461667,park,1237.5,4.95
16,JL. IRIAN BARAT PANJAT TEBING,-7.274755,112.744028,park,11160,44.64
17,JL. KARIMUN JAWA STREN KALI SISI RUMAH POMPA,-7.27325,112.7459722,park,21390,85.56
18,JL. URIP SUMOHARJO PEDESTRIAMN SISI BARAT,-7.27491667,112.7417222,park,1867.5,7.47
19,JL. BASUKI RAHMAT PEDESTRIAN SISI BARAT,-7.263208,112.740842,park,2940,11.76
20,RETONDE TEGALSARI BELAKANG POLSEK,-7.26586111,112.7400667,park,750,3
21,RETONDE TEGALSARI BELAKANG POLSEK,-7.26591111,112.7401917,park,862.5,3.45
22,RETONDE TEGALSARI BELAKANG POLSEK,-7.26605833,112.7401833,park,795,3.18
23,TEGALSARI TAMAN KARTIKA,-7.26686111,112.7364444,park,23760,95.04
24,JL. SULUNG KALI,-7.243868,112.741211,park,6435,25.74
25,JL. TEMBAAN PEDESTRIAN,-7.246653,112.735439,park,4695,18.78
26,JL.KEBUN ROJO,-7.243195,112.738258,park,7680,30.72
27,JL. GEMBLONGAN KANAN,-7.253857,112.736866,park,5010,20.04
28,JL. GEMBLONGAN KIRI,-7.253857,112.736866,park,5010,20.04
29,JL. BUBUTAN ,-7.24972222,112.736,park,25305,101.22
30,JL. PAWIYATAN,-7.25175,112.7314167,park,3412.5,13.65
31,JL. GENTENG KALI JALUR TENGAH,-7.256027,112.739915,park,5910,23.64
32,RETONDE GENTENG KALI DEPAN PERHUTYANI,-7.25613889,112.7426583,park,5190,20.76
33,PEDESTRIAN GENTENG KALI,-7.25605556,112.7403611,park,5910,23.64
34,PEDESTRIAN TUNJUNGAN,-7.25811111,112.7381667,park,4657.5,18.63
35,RETONDE EMBONG MALANG DEPAN SAEKO,-7.26112,112.739835,park,3487.5,13.95
36,RETONDE EMBONG MALANG POS POLISI,-7.258563,112.733211,park,360,1.44
37,RETONDE POS POLISI JL. PRABAN,-7.255864,112.734437,park,3510,14.04
38,PEDESTRIAN SIMPANG DUKUH,-7.26133333,112.7418333,park,1537.5,6.15
39,RETONDE SIMPANG DUKUH,-7.26297778,112.7421111,park,510,2.04
40,PEDESTRIAN GUBERNUR SURYO KANAN-KIRI,-7.263382,112.742796,park,3712.5,14.85
41,JL. PROF.DR. MOESTOPO JALUR TENGAH,-7.26577778,112.7583056,park,1320,5.28
42,JL. PROF. DR. MOESTOPO PEDESTRIAN,-7.26591667,112.7584722,park,2497.5,9.99
43,JL. PANGLIMA SUDIRMAN PEDESTRIAN SISI BARAT,-7.26875,112.7440833,park,3780.975,15.1239
44,RETONDE KARTINI 1,-7.27815,112.72947,park,3915,15.66
45,RETONDE KARTINI 2,-7.278349,112.731251,park,97.5,0.39
46,JL. INDARA GIRI ,-7.28775,112.7315,park,2655,10.62
47,RETONDE IMAM BONJOL,-7.279915,112.735052,park,472.5,1.89
48,JL. KOMBES POL M. DURYAT,-7.26866667,112.7397222,park,26595,106.38
49,JL. BENGAWAN PEDESTRIAN SISI TIMUR,-7.29005556,112.7400833,park,1470,5.88
50,RETONDE MOJOPAHIT,-7.28070833,112.7446167,park,2340,9.36
51,PEDESTRIAN SRIWIJAYA,-7.27930556,112.7421667,park,1770,7.08
52,REFILL KALI MAS,-7.26238889,112.7456944,refill,0,0
53,REFILL DEKET MIE BANGLADESH,-7.25797222,112.7442222,refill,0,0
54,REFILL UNDAAN,-7.25505556,112.7436944,refill,0,0
55,REFILL KALI MAS,-7.26244444,112.7455556,refill,0,0
56,REFILL KALI KAYOON,-7.27241667,112.74475,refill,0,0
57,REFILL IRIAN BARAT,-7.27705556,112.7441111,refill,0,0
58,REFILL KEPUTRAN,-7.27525,112.7435,refill,0,0
59,REFILL KALI KAYOON,-7.26830556,112.7489722,refill,0,0
60,REFIL EMBONG KALIASIN,-7.26280556,112.7442778,refill,0,0
61,REFILL KEDUNGDORO,-7.26291667,112.7311389,refill,0,0
62,REFILL KALI SULUNG,-7.2435,112.7404444,refill,0,0
63,REFILL KALI SULUNG,-7.24744444,112.7420556,refill,0,0
64,REFILL KALI BIBIS TAMA 1,-7.243,112.7391944,refill,0,0
65,REFILL ALUN ALUN CONTONG,-7.25358333,112.7374444,refill,0,0
66,REFILL GENTENG KALI,-7.256,112.7402222,refill,0,0
