run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1663.46,1562.92,319.77,5.43,5,50,95.353,True
2,1653.9,1552.43,334.31,14.71,5,50,101.824,True
3,1654.55,1555.59,324.47,9.68,5,49,104.844,True
4,1657.0,1557.8,323.49,12.0,5,49,109.454,True
5,1651.65,1550.81,324.72,8.43,5,50,107.468,True
6,1668.09,1569.47,321.57,6.17,5,49,107.821,True
7,1665.3,1564.51,323.7,7.94,5,50,108.01,True
8,1671.12,1572.72,319.02,3.98,5,49,107.881,True
9,1658.24,1559.84,317.79,3.99,5,49,108.798,True
10,1667.08,1565.52,342.75,15.57,5,50,106.857,True
11,1666.3,1567.12,331.66,11.78,5,49,109.308,True
12,1665.3,1565.81,332.31,14.88,5,49,106.171,True
13,1672.66,1573.58,334.52,10.8,5,49,106.957,True
14,1668.54,1569.2,332.79,13.41,5,49,106.074,True
15,1644.55,1547.54,320.54,10.15,5,48,107.72,True
16,1672.86,1572.22,324.96,6.45,5,50,105.747,True
17,1671.68,1573.26,320.18,4.15,5,49,85.486,True
18,1672.15,1570.81,334.39,13.45,5,50,55.82,True
19,1673.91,1573.05,324.61,8.63,5,50,54.973,True
20,1657.95,1557.07,326.89,8.88,5,50,49.104,True
