dataset,algorithm,seed,vehicle_count,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset B,ACO,7,5,1562.92,319.77,5.43,5,50,95.353,True
Dataset B,ACO,14,5,1552.43,334.31,14.71,5,50,101.824,True
Dataset B,ACO,21,5,1555.59,324.47,9.68,5,49,104.844,True
Dataset B,ACO,28,5,1557.8,323.49,12.0,5,49,109.454,True
Dataset B,ACO,35,5,1550.81,324.72,8.43,5,50,107.468,True
Dataset B,ACO,42,5,1569.47,321.57,6.17,5,49,107.821,True
Dataset B,ACO,49,5,1564.51,323.7,7.94,5,50,108.01,True
Dataset B,ACO,56,5,1572.72,319.02,3.98,5,49,107.881,True
Dataset B,ACO,63,5,1559.84,317.79,3.99,5,49,108.798,True
Dataset B,ACO,70,5,1565.52,342.75,15.57,5,50,106.857,True
Dataset B,ACO,77,5,1567.12,331.66,11.78,5,49,109.308,True
Dataset B,ACO,84,5,1565.81,332.31,14.88,5,49,106.171,True
Dataset B,ACO,91,5,1573.58,334.52,10.8,5,49,106.957,True
Dataset B,ACO,98,5,1569.2,332.79,13.41,5,49,106.074,True
Dataset B,ACO,105,5,1547.54,320.54,10.15,5,48,107.72,True
Dataset B,ACO,112,5,1572.22,324.96,6.45,5,50,105.747,True
Dataset B,ACO,119,5,1573.26,320.18,4.15,5,49,85.486,True
Dataset B,ACO,126,5,1570.81,334.39,13.45,5,50,55.82,True
Dataset B,ACO,133,5,1573.05,324.61,8.63,5,50,54.973,True
Dataset B,ACO,140,5,1557.07,326.89,8.88,5,50,49.104,True
Dataset B,ALNS,7,5,1563.75,334.63,14.57,5,50,2.819,True
Dataset B,ALNS,14,5,1604.23,343.55,19.73,5,50,3.343,True
Dataset B,ALNS,21,5,1583.32,336.94,12.34,5,50,3.718,True
Dataset B,ALNS,28,5,1540.86,322.0,11.1,5,50,2.798,True
Dataset B,ALNS,35,5,1578.18,330.98,14.13,5,50,2.632,True
Dataset B,ALNS,42,5,1535.1,322.41,11.73,5,49,3.008,True
Dataset B,ALNS,49,5,1555.0,328.52,13.57,5,50,3.302,True
Dataset B,ALNS,56,5,1543.0,312.94,4.27,5,49,3.08,True
Dataset B,ALNS,63,5,1580.72,338.6,12.63,5,50,3.241,True
Dataset B,ALNS,70,5,1546.97,320.15,6.87,5,50,3.472,True
Dataset B,ALNS,77,5,1546.41,313.46,4.42,5,50,2.743,True
Dataset B,ALNS,84,5,1546.04,329.37,12.77,5,50,3.306,True
Dataset B,ALNS,91,5,1548.38,327.32,10.29,5,49,3.728,True
Dataset B,ALNS,98,5,1581.57,343.98,18.41,5,49,3.167,True
Dataset B,ALNS,105,5,1581.3,339.9,18.18,5,50,2.902,True
Dataset B,ALNS,112,5,1567.27,330.95,10.24,5,49,3.062,True
Dataset B,ALNS,119,5,1548.97,313.62,4.45,5,49,2.931,True
Dataset B,ALNS,126,5,1532.53,310.74,4.39,5,49,3.075,True
Dataset B,ALNS,133,5,1550.15,323.26,12.94,5,50,2.933,True
Dataset B,ALNS,140,5,1582.29,330.71,10.01,5,49,3.791,True
Dataset B,Hybrid,7,5,1532.2,318.63,8.97,5,49,7.153,True
Dataset B,Hybrid,14,5,1605.6,337.03,10.11,5,51,7.136,True
Dataset B,Hybrid,21,5,1552.72,325.8,13.16,5,50,7.115,True
Dataset B,Hybrid,28,5,1545.57,335.09,13.69,5,49,6.597,True
Dataset B,Hybrid,35,5,1552.88,330.41,12.18,5,50,7.082,True
Dataset B,Hybrid,42,5,1562.47,319.77,7.38,5,49,7.353,True
Dataset B,Hybrid,49,5,1593.86,330.28,14.21,5,50,7.638,True
Dataset B,Hybrid,56,5,1553.91,318.33,5.82,5,49,7.381,True
Dataset B,Hybrid,63,5,1545.52,340.98,16.12,5,49,7.286,True
Dataset B,Hybrid,70,5,1598.97,335.94,12.47,5,49,7.135,True
Dataset B,Hybrid,77,5,1553.34,330.68,13.89,5,49,7.623,True
Dataset B,Hybrid,84,5,1610.43,344.59,16.85,5,51,7.469,True
Dataset B,Hybrid,91,5,1536.68,313.22,4.69,5,49,7.721,True
Dataset B,Hybrid,98,5,1564.39,335.52,13.24,5,49,7.119,True
Dataset B,Hybrid,105,5,1577.71,337.64,11.86,5,51,7.44,True
Dataset B,Hybrid,112,5,1605.34,333.67,14.33,5,51,6.59,True
Dataset B,Hybrid,119,5,1565.81,323.76,8.16,5,51,7.394,True
Dataset B,Hybrid,126,5,1561.77,321.53,6.43,5,50,6.519,True
Dataset B,Hybrid,133,5,1557.78,324.85,7.71,5,49,6.681,True
Dataset B,Hybrid,140,5,1567.62,320.07,6.71,5,49,6.443,True
