run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2852.37,2810.14,330.25,13.99,9,71,8.043,True
2,2881.54,2822.45,331.5,10.63,9,74,8.337,True
3,2938.38,2901.24,349.5,18.45,9,74,8.323,True
4,2931.58,2877.6,346.0,18.23,9,73,7.888,True
5,2859.16,2815.19,322.2,6.57,9,72,7.917,True
6,2844.58,2786.29,336.3,14.6,9,73,8.166,True
7,2891.45,2807.58,325.0,9.94,9,71,7.564,True
8,2884.91,2749.14,324.5,16.36,9,73,7.7,True
9,2847.19,2885.95,336.55,15.23,9,73,7.548,True
10,2905.27,2917.65,337.0,9.39,9,74,7.686,True
