run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2829.12,2728.75,409.38,19.86,7,74,7.755,True
2,2826.28,2679.14,400.2,11.4,7,73,7.887,True
3,2835.02,2720.97,420.5,26.82,7,74,8.227,True
4,2857.97,2793.34,420.5,18.3,7,74,7.887,True
5,2814.14,2724.67,403.25,8.48,7,74,7.966,True
6,2792.08,2658.97,394.0,13.0,7,74,7.888,True
7,2814.17,2669.02,408.5,19.98,7,73,8.039,True
8,2794.07,2634.42,388.6,9.6,7,74,8.205,True
9,2803.82,2658.38,409.0,20.36,7,73,8.271,True
10,2807.99,2724.87,415.14,19.95,7,74,8.506,True
