run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2784.69,2711.0,471.0,15.37,6,74,6.96,True
2,2772.8,2620.78,460.0,20.21,6,75,7.124,True
3,2749.21,2599.9,451.1,13.05,6,74,7.402,True
4,2777.62,2691.85,466.5,12.76,6,74,6.726,True
5,2752.61,2629.25,469.85,17.75,6,74,6.708,True
6,2757.6,2607.45,469.6,21.5,6,74,6.922,True
7,2782.37,2668.12,463.23,20.38,6,75,6.168,True
8,2805.15,2658.28,464.95,18.18,6,73,7.083,True
9,2757.97,2610.72,460.35,12.49,6,73,6.688,True
10,2757.94,2631.49,468.1,15.86,6,74,6.567,True
