run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1631.1,1532.2,318.63,8.97,5,49,5.804,True
2,1647.06,1605.6,337.03,10.11,5,51,5.998,True
3,1654.04,1552.72,325.8,13.16,5,50,6.123,True
4,1644.94,1545.57,335.09,13.69,5,49,5.728,True
5,1640.48,1552.88,330.41,12.18,5,50,5.853,True
6,1661.21,1562.47,319.77,7.38,5,49,6.099,True
7,1651.11,1593.86,330.28,14.21,5,50,6.086,True
8,1652.49,1553.91,318.33,5.82,5,49,6.02,True
9,1637.24,1545.52,340.98,16.12,5,49,6.048,True
10,1665.14,1598.97,335.94,12.47,5,49,5.881,True
