dataset,algorithm,level_label,n_vehicles,seed,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,Hybrid,full,9,7,2810.14,330.25,13.99,9,71,8.043,True
Dataset A,Hybrid,full,9,14,2822.45,331.5,10.63,9,74,8.337,True
Dataset A,Hybrid,full,9,21,2901.24,349.5,18.45,9,74,8.323,True
Dataset A,Hybrid,full,9,28,2877.6,346.0,18.23,9,73,7.888,True
Dataset A,Hybrid,full,9,35,2815.19,322.2,6.57,9,72,7.917,True
Dataset A,Hybrid,full,9,42,2786.29,336.3,14.6,9,73,8.166,True
Dataset A,Hybrid,full,9,49,2807.58,325.0,9.94,9,71,7.564,True
Dataset A,Hybrid,full,9,56,2749.14,324.5,16.36,9,73,7.7,True
Dataset A,Hybrid,full,9,63,2885.95,336.55,15.23,9,73,7.548,True
Dataset A,Hybrid,full,9,70,2917.65,337.0,9.39,9,74,7.686,True
Dataset A,Hybrid,moderate,7,7,2728.75,409.38,19.86,7,74,7.755,True
Dataset A,Hybrid,moderate,7,14,2679.14,400.2,11.4,7,73,7.887,True
Dataset A,Hybrid,moderate,7,21,2720.97,420.5,26.82,7,74,8.227,True
Dataset A,Hybrid,moderate,7,28,2793.34,420.5,18.3,7,74,7.887,True
Dataset A,Hybrid,moderate,7,35,2724.67,403.25,8.48,7,74,7.966,True
Dataset A,Hybrid,moderate,7,42,2658.97,394.0,13.0,7,74,7.888,True
Dataset A,Hybrid,moderate,7,49,2669.02,408.5,19.98,7,73,8.039,True
Dataset A,Hybrid,moderate,7,56,2634.42,388.6,9.6,7,74,8.205,True
Dataset A,Hybrid,moderate,7,63,2658.38,409.0,20.36,7,73,8.271,True
Dataset A,Hybrid,moderate,7,70,2724.87,415.14,19.95,7,74,8.506,True
Dataset A,Hybrid,severe,6,7,2711.0,471.0,15.37,6,74,6.96,True
Dataset A,Hybrid,severe,6,14,2620.78,460.0,20.21,6,75,7.124,True
Dataset A,Hybrid,severe,6,21,2599.9,451.1,13.05,6,74,7.402,True
Dataset A,Hybrid,severe,6,28,2691.85,466.5,12.76,6,74,6.726,True
Dataset A,Hybrid,severe,6,35,2629.25,469.85,17.75,6,74,6.708,True
Dataset A,Hybrid,severe,6,42,2607.45,469.6,21.5,6,74,6.922,True
Dataset A,Hybrid,severe,6,49,2668.12,463.23,20.38,6,75,6.168,True
Dataset A,Hybrid,severe,6,56,2658.28,464.95,18.18,6,73,7.083,True
Dataset A,Hybrid,severe,6,63,2610.72,460.35,12.49,6,73,6.688,True
Dataset A,Hybrid,severe,6,70,2631.49,468.1,15.86,6,74,6.567,True
