dataset,algorithm,level_label,n_vehicles,seed,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset B,Hybrid,full,5,7,1532.2,318.63,8.97,5,49,5.804,True
Dataset B,Hybrid,full,5,14,1605.6,337.03,10.11,5,51,5.998,True
Dataset B,Hybrid,full,5,21,1552.72,325.8,13.16,5,50,6.123,True
Dataset B,Hybrid,full,5,28,1545.57,335.09,13.69,5,49,5.728,True
Dataset B,Hybrid,full,5,35,1552.88,330.41,12.18,5,50,5.853,True
Dataset B,Hybrid,full,5,42,1562.47,319.77,7.38,5,49,6.099,True
Dataset B,Hybrid,full,5,49,1593.86,330.28,14.21,5,50,6.086,True
Dataset B,Hybrid,full,5,56,1553.91,318.33,5.82,5,49,6.02,True
Dataset B,Hybrid,full,5,63,1545.52,340.98,16.12,5,49,6.048,True
Dataset B,Hybrid,full,5,70,1598.97,335.94,12.47,5,49,5.881,True
Dataset B,Hybrid,moderate,4,7,1585.06,433.84,22.18,4,51,5.989,True
Dataset B,Hybrid,moderate,4,14,1550.06,415.03,19.19,4,50,6.027,True
Dataset B,Hybrid,moderate,4,21,1538.57,395.03,6.61,4,50,5.915,True
Dataset B,Hybrid,moderate,4,28,1547.19,407.25,12.76,4,50,5.814,True
Dataset B,Hybrid,moderate,4,35,1526.65,385.44,4.0,4,50,6.149,True
Dataset B,Hybrid,moderate,4,42,1539.32,397.97,7.69,4,50,6.319,True
Dataset B,Hybrid,moderate,4,49,1576.34,401.33,7.71,4,51,6.395,True
Dataset B,Hybrid,moderate,4,56,1550.34,398.66,12.13,4,50,6.164,True
Dataset B,Hybrid,moderate,4,63,1557.98,407.37,13.87,4,50,6.326,True
Dataset B,Hybrid,moderate,4,70,1597.07,418.13,15.63,4,51,6.388,True
Dataset B,Hybrid,severe,3,7,1539.17,520.86,10.05,3,51,3.463,True
Dataset B,Hybrid,severe,3,14,1535.25,525.87,10.0,3,51,3.569,True
Dataset B,Hybrid,severe,3,21,1523.47,517.54,9.48,3,51,3.658,True
Dataset B,Hybrid,severe,3,28,1516.3,521.31,22.32,3,51,3.575,True
Dataset B,Hybrid,severe,3,35,1517.8,517.1,9.16,3,51,3.565,True
Dataset B,Hybrid,severe,3,42,1529.09,524.36,12.57,3,51,3.754,True
Dataset B,Hybrid,severe,3,49,1527.97,513.24,3.93,3,50,3.929,True
Dataset B,Hybrid,severe,3,56,1532.11,519.85,6.47,3,51,3.666,True
Dataset B,Hybrid,severe,3,63,1538.13,526.4,10.48,3,51,3.847,True
Dataset B,Hybrid,severe,3,70,1518.99,510.26,5.24,3,51,3.694,True
