dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,7,2976.34,320.5,12.41,10,72,20,8.404,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,14,2844.98,292.33,8.26,10,71,23,8.128,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,21,2816.24,304.0,14.26,10,73,22,8.158,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,28,2873.1,306.35,11.22,10,72,21,7.804,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,35,2897.92,308.25,11.75,10,73,23,7.881,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,7,3101.28,329.0,15.62,10,74,14,5.152,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,14,3073.59,329.0,12.35,10,71,14,5.592,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,21,2970.59,343.0,25.63,10,71,14,5.348,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,28,3030.22,328.0,13.52,10,72,14,5.209,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,35,3089.87,325.0,11.54,10,71,14,5.211,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,7,3107.47,351.0,20.58,10,72,12,5.433,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,14,3150.79,347.32,21.07,10,73,13,5.398,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,21,3144.19,351.0,19.19,10,71,13,5.345,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,28,3217.2,338.75,13.97,10,72,12,5.728,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,35,3056.61,351.0,17.86,10,72,13,6.103,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,7,3137.0,330.5,13.94,10,72,13,5.653,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,14,3193.49,345.1,13.24,10,74,14,5.526,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,21,3099.41,363.0,29.63,10,71,15,5.621,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,28,3175.77,337.75,11.46,10,73,14,5.305,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,35,3119.06,326.0,7.82,10,74,14,5.342,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,7,3138.95,399.0,37.93,10,72,16,5.517,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,14,3180.24,399.0,51.94,10,71,15,5.5,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,21,3071.45,357.0,26.52,10,71,16,5.326,True
