run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2994.41,2853.36,300.92,10.55,10,70,80.205,True
2,2942.26,2801.06,300.25,12.03,10,70,82.953,True
3,2987.53,2847.03,291.36,4.97,10,70,82.267,True
4,2989.66,2846.43,298.8,12.31,10,71,82.738,True
5,2937.21,2794.31,293.2,8.99,10,71,82.307,True
6,2983.43,2840.57,295.75,8.55,10,71,81.768,True
7,2984.81,2841.58,306.37,12.3,10,71,81.131,True
8,2970.58,2829.24,301.8,13.42,10,70,81.24,True
9,2958.79,2817.67,307.75,11.2,10,70,81.706,True
10,2994.1,2850.87,304.83,12.29,10,71,82.405,True
11,2979.09,2837.83,304.47,12.61,10,70,83.25,True
12,2983.73,2840.54,306.85,11.88,10,71,85.02,True
13,2976.7,2833.66,297.4,10.39,10,71,85.826,True
14,2979.19,2837.99,305.02,11.99,10,70,83.637,True
15,2966.75,2823.64,294.95,11.18,10,71,81.509,True
16,2938.01,2795.12,297.47,8.94,10,71,85.739,True
17,2984.47,2841.61,299.82,8.59,10,71,85.875,True
18,2967.05,2824.14,297.83,9.02,10,71,86.061,True
19,2977.52,2836.28,296.31,12.32,10,70,85.422,True
20,2965.69,2820.46,301.03,12.3,10,72,86.308,True
