run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1641.1,1563.75,334.63,14.57,5,50,4.978,True
2,1635.28,1604.23,343.55,19.73,5,50,5.508,True
3,1643.21,1583.32,336.94,12.34,5,50,6.051,True
4,1635.39,1540.86,322.0,11.1,5,50,5.108,True
5,1651.91,1578.18,330.98,14.13,5,50,4.667,True
6,1634.28,1535.1,322.41,11.73,5,49,5.638,True
7,1644.34,1555.0,328.52,13.57,5,50,5.982,True
8,1641.43,1543.0,312.94,4.27,5,49,5.416,True
9,1634.37,1580.72,338.6,12.63,5,50,6.056,True
10,1639.13,1546.97,320.15,6.87,5,50,6.647,True
11,1641.1,1546.41,313.46,4.42,5,50,5.145,True
12,1647.32,1546.04,329.37,12.77,5,50,6.309,True
13,1656.3,1548.38,327.32,10.29,5,49,6.933,True
14,1641.39,1581.57,343.98,18.41,5,49,5.916,True
15,1638.98,1581.3,339.9,18.18,5,50,6.081,True
16,1637.41,1567.27,330.95,10.24,5,49,6.049,True
17,1647.42,1548.97,313.62,4.45,5,49,5.602,True
18,1641.81,1532.53,310.74,4.39,5,49,6.256,True
19,1645.07,1550.15,323.26,12.94,5,50,5.45,True
20,1643.08,1582.29,330.71,10.01,5,49,7.013,True
