dataset,algorithm,fitness,seed,vehicle_count,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,ACO,2994.41,7,10,2853.36,300.92,10.55,10,70,80.205,True
Dataset A,ACO,2942.26,14,10,2801.06,300.25,12.03,10,70,82.953,True
Dataset A,ACO,2987.53,21,10,2847.03,291.36,4.97,10,70,82.267,True
Dataset A,ACO,2989.66,28,10,2846.43,298.8,12.31,10,71,82.738,True
Dataset A,ACO,2937.21,35,10,2794.31,293.2,8.99,10,71,82.307,True
Dataset A,ACO,2983.43,42,10,2840.57,295.75,8.55,10,71,81.768,True
Dataset A,ACO,2984.81,49,10,2841.58,306.37,12.3,10,71,81.131,True
Dataset A,ACO,2970.58,56,10,2829.24,301.8,13.42,10,70,81.24,True
Dataset A,ACO,2958.79,63,10,2817.67,307.75,11.2,10,70,81.706,True
Dataset A,ACO,2994.1,70,10,2850.87,304.83,12.29,10,71,82.405,True
Dataset A,ACO,2979.09,77,10,2837.83,304.47,12.61,10,70,83.25,True
Dataset A,ACO,2983.73,84,10,2840.54,306.85,11.88,10,71,85.02,True
Dataset A,ACO,2976.7,91,10,2833.66,297.4,10.39,10,71,85.826,True
Dataset A,ACO,2979.19,98,10,2837.99,305.02,11.99,10,70,83.637,True
Dataset A,ACO,2966.75,105,10,2823.64,294.95,11.18,10,71,81.509,True
Dataset A,ACO,2938.01,112,10,2795.12,297.47,8.94,10,71,85.739,True
Dataset A,ACO,2984.47,119,10,2841.61,299.82,8.59,10,71,85.875,True
Dataset A,ACO,2967.05,126,10,2824.14,297.83,9.02,10,71,86.061,True
Dataset A,ACO,2977.52,133,10,2836.28,296.31,12.32,10,70,85.422,True
Dataset A,ACO,2965.69,140,10,2820.46,301.03,12.3,10,72,86.308,True
Dataset A,ALNS,2934.23,7,10,2933.95,314.0,11.46,10,73,9.856,True
Dataset A,ALNS,2890.49,14,10,2784.52,296.0,12.6,10,73,10.011,True
Dataset A,ALNS,2929.59,21,10,2986.27,312.34,11.23,10,72,10.499,True
Dataset A,ALNS,2890.73,28,10,2838.44,301.5,10.07,10,73,9.185,True
Dataset A,ALNS,2920.46,35,10,2889.3,309.25,11.56,10,71,9.171,True
Dataset A,ALNS,2918.11,42,10,2853.78,304.5,8.4,10,73,9.349,True
Dataset A,ALNS,2877.78,49,10,2840.64,308.0,13.1,10,72,10.072,True
Dataset A,ALNS,2882.67,56,10,2826.24,297.0,14.34,10,72,9.908,True
Dataset A,ALNS,2854.64,63,10,2848.3,307.75,16.55,10,73,9.456,True
Dataset A,ALNS,2945.11,70,10,2882.68,304.5,11.45,10,73,8.54,True
Dataset A,ALNS,2904.8,77,10,2854.88,303.0,13.36,10,73,9.848,True
Dataset A,ALNS,2909.91,84,10,2802.16,325.0,22.07,10,72,8.91,True
Dataset A,ALNS,2930.29,91,10,2885.43,302.0,9.25,10,72,10.026,True
Dataset A,ALNS,2899.73,98,10,2847.33,305.0,11.96,10,71,10.149,True
Dataset A,ALNS,2927.67,105,10,2833.38,310.0,18.43,10,71,9.665,True
Dataset A,ALNS,2894.68,112,10,2783.17,302.0,13.21,10,72,10.12,True
Dataset A,ALNS,2902.35,119,10,2929.18,307.95,10.98,10,74,10.335,True
Dataset A,ALNS,2900.34,126,10,2765.7,324.0,28.36,10,71,9.227,True
Dataset A,ALNS,2903.16,133,10,2812.59,302.0,16.32,10,72,9.44,True
Dataset A,ALNS,2932.44,140,10,2931.42,313.0,9.75,10,73,9.546,True
Dataset A,Hybrid,2928.77,7,10,2976.34,320.5,12.41,10,72,15.87,True
Dataset A,Hybrid,2918.23,14,10,2844.98,292.33,8.26,10,71,15.679,True
Dataset A,Hybrid,2933.33,21,10,2816.24,304.0,14.26,10,73,15.657,True
Dataset A,Hybrid,2943.08,28,10,2873.1,306.35,11.22,10,72,15.154,True
Dataset A,Hybrid,2966.29,35,10,2897.92,308.25,11.75,10,73,15.588,True
Dataset A,Hybrid,2925.24,42,10,2844.45,301.75,12.34,10,72,15.97,True
Dataset A,Hybrid,2879.86,49,10,2905.89,309.0,17.13,10,73,15.064,True
Dataset A,Hybrid,2950.38,56,10,2933.95,310.33,14.79,10,74,14.993,True
Dataset A,Hybrid,2921.99,63,10,2864.4,325.0,23.96,10,71,16.307,True
Dataset A,Hybrid,2914.12,70,10,2821.57,309.0,14.41,10,72,14.63,True
Dataset A,Hybrid,2991.73,77,10,2902.35,324.0,24.35,10,72,14.92,True
Dataset A,Hybrid,2904.61,84,10,2932.15,309.0,15.33,10,72,15.696,True
Dataset A,Hybrid,2905.29,91,10,2822.88,305.0,15.06,10,72,15.78,True
Dataset A,Hybrid,2922.96,98,10,2876.12,303.6,12.82,10,72,15.659,True
Dataset A,Hybrid,2934.16,105,10,2879.8,313.0,17.68,10,74,14.862,True
Dataset A,Hybrid,2963.46,112,10,2839.1,325.0,27.92,10,72,14.768,True
Dataset A,Hybrid,2871.71,119,10,2776.22,299.5,12.93,10,72,15.912,True
Dataset A,Hybrid,2926.59,126,10,2821.7,337.0,37.23,10,71,15.38,True
Dataset A,Hybrid,2907.9,133,10,2847.97,325.0,22.15,10,71,15.269,True
Dataset A,Hybrid,2951.72,140,10,2952.16,311.92,12.63,10,74,15.016,True
