run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2784.69,2711.0,471.0,15.37,6,74,12.532,True
2,2772.8,2620.78,460.0,20.21,6,75,12.644,True
3,2749.21,2599.9,451.1,13.05,6,74,13.106,True
4,2777.62,2691.85,466.5,12.76,6,74,11.99,True
5,2752.61,2629.25,469.85,17.75,6,74,12.321,True
6,2757.6,2607.45,469.6,21.5,6,74,12.532,True
7,2782.37,2668.12,463.23,20.38,6,75,11.337,True
8,2805.15,2658.28,464.95,18.18,6,73,12.955,True
9,2757.97,2610.72,460.35,12.49,6,73,12.053,True
10,2757.94,2631.49,468.1,15.86,6,74,11.959,True
