run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1645.26,1585.06,433.84,22.18,4,51,10.941,True
2,1651.98,1550.06,415.03,19.19,4,50,10.915,True
3,1639.23,1538.57,395.03,6.61,4,50,10.781,True
4,1648.46,1547.19,407.25,12.76,4,50,10.623,True
5,1627.05,1526.65,385.44,4.0,4,50,11.122,True
6,1640.09,1539.32,397.97,7.69,4,50,11.601,True
7,1638.94,1576.34,401.33,7.71,4,51,11.608,True
8,1645.0,1550.34,398.66,12.13,4,50,11.076,True
9,1645.09,1557.98,407.37,13.87,4,50,11.29,True
10,1642.59,1597.07,418.13,15.63,4,51,11.6,True
