run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1642.18,1539.17,520.86,10.05,3,51,6.38,True
2,1638.25,1535.25,525.87,10.0,3,51,6.537,True
3,1626.42,1523.47,517.54,9.48,3,51,6.66,True
4,1620.53,1516.3,521.31,22.32,3,51,6.518,True
5,1620.71,1517.8,517.1,9.16,3,51,6.421,True
6,1632.35,1529.09,524.36,12.57,3,51,6.867,True
7,1628.36,1527.97,513.24,3.93,3,50,6.917,True
8,1634.76,1532.11,519.85,6.47,3,51,6.55,True
9,1641.17,1538.13,526.4,10.48,3,51,6.83,True
10,1621.52,1518.99,510.26,5.24,3,51,6.63,True
