dataset,algorithm,level_label,n_vehicles,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset B,Hybrid,full,5,7,1631.1,1532.2,318.63,8.97,5,49,10.755,True
Dataset B,Hybrid,full,5,14,1647.06,1605.6,337.03,10.11,5,51,11.01,True
Dataset B,Hybrid,full,5,21,1654.04,1552.72,325.8,13.16,5,50,11.118,True
Dataset B,Hybrid,full,5,28,1644.94,1545.57,335.09,13.69,5,49,10.28,True
Dataset B,Hybrid,full,5,35,1640.48,1552.88,330.41,12.18,5,50,10.745,True
Dataset B,Hybrid,full,5,42,1661.21,1562.47,319.77,7.38,5,49,11.065,True
Dataset B,Hybrid,full,5,49,1651.11,1593.86,330.28,14.21,5,50,11.112,True
Dataset B,Hybrid,full,5,56,1652.49,1553.91,318.33,5.82,5,49,10.874,True
Dataset B,Hybrid,full,5,63,1637.24,1545.52,340.98,16.12,5,49,10.758,True
Dataset B,Hybrid,full,5,70,1665.14,1598.97,335.94,12.47,5,49,10.616,True
Dataset B,Hybrid,moderate,4,7,1645.26,1585.06,433.84,22.18,4,51,10.941,True
Dataset B,Hybrid,moderate,4,14,1651.98,1550.06,415.03,19.19,4,50,10.915,True
Dataset B,Hybrid,moderate,4,21,1639.23,1538.57,395.03,6.61,4,50,10.781,True
Dataset B,Hybrid,moderate,4,28,1648.46,1547.19,407.25,12.76,4,50,10.623,True
Dataset B,Hybrid,moderate,4,35,1627.05,1526.65,385.44,4.0,4,50,11.122,True
Dataset B,Hybrid,moderate,4,42,1640.09,1539.32,397.97,7.69,4,50,11.601,True
Dataset B,Hybrid,moderate,4,49,1638.94,1576.34,401.33,7.71,4,51,11.608,True
Dataset B,Hybrid,moderate,4,56,1645.0,1550.34,398.66,12.13,4,50,11.076,True
Dataset B,Hybrid,moderate,4,63,1645.09,1557.98,407.37,13.87,4,50,11.29,True
Dataset B,Hybrid,moderate,4,70,1642.59,1597.07,418.13,15.63,4,51,11.6,True
Dataset B,Hybrid,severe,3,7,1642.18,1539.17,520.86,10.05,3,51,6.38,True
Dataset B,Hybrid,severe,3,14,1638.25,1535.25,525.87,10.0,3,51,6.537,True
Dataset B,Hybrid,severe,3,21,1626.42,1523.47,517.54,9.48,3,51,6.66,True
Dataset B,Hybrid,severe,3,28,1620.53,1516.3,521.31,22.32,3,51,6.518,True
Dataset B,Hybrid,severe,3,35,1620.71,1517.8,517.1,9.16,3,51,6.421,True
Dataset B,Hybrid,severe,3,42,1632.35,1529.09,524.36,12.57,3,51,6.867,True
Dataset B,Hybrid,severe,3,49,1628.36,1527.97,513.24,3.93,3,50,6.917,True
Dataset B,Hybrid,severe,3,56,1634.76,1532.11,519.85,6.47,3,51,6.55,True
Dataset B,Hybrid,severe,3,63,1641.17,1538.13,526.4,10.48,3,51,6.83,True
Dataset B,Hybrid,severe,3,70,1621.52,1518.99,510.26,5.24,3,51,6.63,True
