dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,7,1631.1,1532.2,318.63,8.97,5,49,12,5.943,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,14,1647.1,1605.6,337.03,10.11,5,51,12,6.102,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,21,1654.0,1552.72,325.8,13.16,5,50,13,6.194,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,28,1644.9,1545.57,335.09,13.69,5,49,12,5.705,True
Dataset B,Hybrid,100%,1,52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76,35,1640.5,1552.88,330.41,12.18,5,50,12,6.042,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,7,1702.8,1627.29,340.11,10.23,5,50,7,4.515,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,14,1687.2,1584.24,331.98,9.09,5,50,8,4.223,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,21,1685.7,1616.82,340.73,9.79,5,51,7,4.666,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,28,1681.6,1610.59,334.94,7.44,5,49,6,4.646,True
Dataset B,Hybrid,50%,1,53;54;55;56;59;60;61;62;64;70;73;75,35,1702.8,1603.79,340.62,12.63,5,49,7,4.706,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,7,1660.9,1561.97,327.39,12.57,5,49,8,4.379,True
Dataset B,Hybrid,50%,2,52;53;54;57;61;63;64;65;68;69;73;74,14,1653.7,1592.21,339.8,14.44,5,51,8,4.653,True
