run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2994.41,2853.36,300.92,10.55,10,70,45.725,True
2,2942.26,2801.06,300.25,12.03,10,70,45.972,True
3,2987.53,2847.03,291.36,4.97,10,70,45.758,True
4,2989.66,2846.43,298.8,12.31,10,71,45.686,True
5,2937.21,2794.31,293.2,8.99,10,71,46.92,True
6,2983.43,2840.57,295.75,8.55,10,71,45.95,True
7,2984.81,2841.58,306.37,12.3,10,71,45.923,True
8,2970.58,2829.24,301.8,13.42,10,70,44.974,True
9,2958.79,2817.67,307.75,11.2,10,70,44.515,True
10,2994.1,2850.87,304.83,12.29,10,71,45.622,True
11,2979.09,2837.83,304.47,12.61,10,70,45.601,True
12,2983.73,2840.54,306.85,11.88,10,71,45.235,True
13,2976.7,2833.66,297.4,10.39,10,71,44.838,True
14,2979.19,2837.99,305.02,11.99,10,70,44.908,True
15,2966.75,2823.64,294.95,11.18,10,71,45.419,True
16,2938.01,2795.12,297.47,8.94,10,71,63.564,True
17,2984.47,2841.61,299.82,8.59,10,71,84.384,True
18,2967.05,2824.14,297.83,9.02,10,71,86.1,True
19,2977.52,2836.28,296.31,12.32,10,70,84.419,True
20,2965.69,2820.46,301.03,12.3,10,72,83.937,True
