run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2929.35,2900.23,312.27,10.51,10,72,3.812,True
2,2885.5,2909.95,309.5,14.2,10,73,4.375,True
3,2922.74,2875.46,304.97,11.3,10,73,4.199,True
4,2915.08,2903.56,315.93,11.21,10,73,5.265,True
5,2926.07,2935.14,311.88,14.17,10,74,7.487,True
6,2902.94,2904.5,303.0,11.96,10,73,7.976,True
7,2918.58,2876.71,302.22,9.24,10,73,7.181,True
8,2913.54,2888.65,310.0,14.83,10,71,8.227,True
9,2940.45,2938.65,316.83,12.33,10,72,7.624,True
10,2903.03,2810.84,301.0,14.03,10,72,7.791,True
11,2930.27,2917.91,312.89,13.25,10,74,7.232,True
12,2884.69,2857.22,302.98,12.16,10,74,7.815,True
13,2921.5,2993.23,324.37,15.25,10,73,7.445,True
14,2923.85,2967.07,318.6,12.43,10,71,7.96,True
15,2900.19,2878.59,304.21,10.31,10,72,6.622,True
16,2928.26,2824.09,300.35,10.61,10,72,8.458,True
17,2891.17,2782.87,325.0,29.03,10,70,7.78,True
18,2918.37,2983.34,318.6,13.83,10,72,7.825,True
19,2905.54,2796.29,317.23,21.37,10,72,8.227,True
20,2897.15,2901.39,328.0,17.79,10,74,7.774,True
