run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1665.21,1563.75,334.63,14.57,5,50,4.223,True
2,1706.21,1604.23,343.55,19.73,5,50,4.563,True
3,1684.55,1583.32,336.94,12.34,5,50,5.249,True
4,1641.97,1540.86,322.0,11.1,5,50,4.29,True
5,1679.6,1578.18,330.98,14.13,5,50,3.972,True
6,1634.28,1535.1,322.41,11.73,5,49,4.841,True
7,1656.35,1555.0,328.52,13.57,5,50,5.098,True
8,1641.43,1543.0,312.94,4.27,5,49,4.583,True
9,1681.98,1580.72,338.6,12.63,5,50,5.132,True
10,1647.66,1546.97,320.15,6.87,5,50,5.504,True
11,1646.86,1546.41,313.46,4.42,5,50,4.304,True
12,1647.32,1546.04,329.37,12.77,5,50,5.294,True
13,1647.41,1548.38,327.32,10.29,5,49,5.918,True
14,1681.41,1581.57,343.98,18.41,5,49,5.02,True
15,1683.12,1581.3,339.9,18.18,5,50,4.798,True
16,1666.29,1567.27,330.95,10.24,5,49,5.069,True
17,1647.42,1548.97,313.62,4.45,5,49,4.764,True
18,1630.97,1532.53,310.74,4.39,5,49,5.048,True
19,1651.45,1550.15,323.26,12.94,5,50,4.626,True
20,1681.29,1582.29,330.71,10.01,5,49,5.707,True
