run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1653.34,1601.39,327.42,3.91,5,50,3.832,True
2,1656.79,1557.83,323.05,9.55,5,49,3.54,True
3,1645.07,1635.81,348.15,17.8,5,50,4.035,True
4,1652.23,1551.43,319.03,8.05,5,50,4.317,True
5,1645.07,1632.92,348.15,17.18,5,50,4.187,True
6,1645.07,1632.92,348.15,17.18,5,50,4.245,True
7,1616.15,1517.45,315.45,6.99,5,49,3.978,True
8,1645.07,1635.81,348.15,17.8,5,50,4.348,True
9,1656.62,1591.99,341.0,16.91,5,50,3.687,True
10,1658.82,1560.5,337.47,14.66,5,50,3.659,True
11,1652.39,1551.36,327.93,10.3,5,50,4.194,True
12,1645.07,1635.81,348.15,17.8,5,50,4.012,True
13,1650.66,1595.93,326.58,7.79,5,50,4.133,True
14,1645.07,1635.81,348.15,17.8,5,50,4.311,True
15,1645.07,1632.92,348.15,17.18,5,50,3.764,True
16,1645.07,1635.81,348.15,17.8,5,50,3.892,True
17,1643.45,1588.04,336.72,15.75,5,50,4.108,True
18,1642.11,1542.72,330.25,13.88,5,49,4.07,True
19,1640.14,1596.66,328.98,11.55,5,50,4.414,True
20,1645.07,1635.81,348.15,17.8,5,50,4.109,True
