run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2898.71,2851.72,333.06,11.66,9,74,4.193,True
2,2836.73,2692.5,337.0,22.31,9,71,4.532,True
3,2863.59,2773.09,329.0,16.65,9,74,4.421,True
4,2878.65,2821.28,331.1,13.15,9,72,3.91,True
5,2873.22,2902.65,336.5,11.8,9,74,4.128,True
6,2869.32,2775.14,332.64,15.74,9,72,4.33,True
7,2884.36,2768.72,329.57,13.82,9,72,4.172,True
8,2891.84,2822.92,326.5,11.69,9,73,4.671,True
9,2916.65,2937.0,343.88,12.17,9,73,4.42,True
10,2871.91,2937.15,345.76,12.23,9,73,4.286,True
