run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2787.17,2789.87,424.19,15.0,7,74,3.773,True
2,2749.55,2665.31,402.45,12.34,7,74,4.51,True
3,2792.52,2782.66,406.15,8.96,7,74,4.227,True
4,2787.94,2878.42,428.65,18.75,7,76,4.816,True
5,2783.25,2680.44,399.7,10.7,7,74,3.909,True
6,2768.46,2636.14,398.0,17.2,7,75,4.508,True
7,2787.94,2832.14,434.39,14.8,7,76,3.561,True
8,2774.72,2696.79,404.1,14.41,7,74,3.747,True
9,2812.2,2749.72,418.67,17.82,7,74,4.133,True
10,2796.91,2836.65,415.67,9.21,7,75,4.247,True
