run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,2766.94,2726.13,473.59,15.59,6,75,3.887,True
2,2768.39,2618.19,463.6,21.95,6,74,4.378,True
3,2758.61,2687.24,479.88,24.71,6,74,3.828,True
4,2797.35,2669.99,469.0,18.86,6,74,3.973,True
5,2796.82,2805.7,491.08,15.5,6,76,3.536,True
6,2752.72,2632.29,465.0,15.12,6,73,4.292,True
7,2769.46,2714.11,465.17,8.82,6,75,3.525,True
8,2806.87,2812.68,491.08,12.5,6,76,3.769,True
9,2724.28,2575.95,455.5,23.26,6,73,4.33,True
10,2771.51,2725.8,471.95,11.33,6,76,4.175,True
