run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1653.34,1601.39,327.42,3.91,5,50,2.124,True
2,1656.79,1557.83,323.05,9.55,5,49,2.001,True
3,1645.07,1635.81,348.15,17.8,5,50,2.291,True
4,1652.23,1551.43,319.03,8.05,5,50,2.471,True
5,1645.07,1632.92,348.15,17.18,5,50,2.528,True
6,1645.07,1632.92,348.15,17.18,5,50,2.387,True
7,1616.15,1517.45,315.45,6.99,5,49,2.421,True
8,1645.07,1635.81,348.15,17.8,5,50,2.492,True
9,1656.62,1591.99,341.0,16.91,5,50,2.243,True
10,1658.82,1560.5,337.47,14.66,5,50,2.087,True
