run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1635.92,1580.57,414.87,11.74,4,51,2.239,True
2,1638.34,1613.07,427.7,20.51,4,51,2.479,True
3,1629.11,1580.76,427.7,20.19,4,51,2.384,True
4,1633.14,1531.34,408.33,17.96,4,50,2.2,True
5,1629.11,1582.42,427.7,19.87,4,51,2.337,True
6,1629.11,1582.42,427.7,19.87,4,51,2.481,True
7,1638.34,1613.07,427.7,20.51,4,51,2.226,True
8,1629.11,1580.76,427.7,20.19,4,51,2.085,True
9,1638.34,1613.07,427.7,20.51,4,51,2.537,True
10,1630.34,1526.85,399.85,14.9,4,51,2.175,True
