run,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
1,1612.01,1608.34,549.52,14.36,3,51,2.511,False
2,1614.47,1608.74,550.64,16.17,3,51,2.173,False
3,1612.78,1608.74,550.64,16.17,3,51,2.359,False
4,1614.47,1608.74,550.64,16.17,3,51,2.426,False
5,1612.78,1608.74,550.64,16.17,3,51,2.176,False
6,1623.65,1611.29,549.52,8.8,3,51,2.377,False
7,1612.01,1608.34,549.52,14.36,3,51,2.284,False
8,1612.78,1608.74,550.64,16.17,3,51,2.22,False
9,1614.47,1608.74,550.64,16.17,3,51,2.211,False
10,1612.01,1608.34,549.52,14.36,3,51,2.33,False
