dataset,algorithm,level_label,n_vehicles,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,computation_time,feasible
Dataset A,Hybrid,full,9,7,2898.71,2851.72,333.06,11.66,9,74,4.193,True
Dataset A,Hybrid,full,9,14,2836.73,2692.5,337.0,22.31,9,71,4.532,True
Dataset A,Hybrid,full,9,21,2863.59,2773.09,329.0,16.65,9,74,4.421,True
Dataset A,Hybrid,full,9,28,2878.65,2821.28,331.1,13.15,9,72,3.91,True
Dataset A,Hybrid,full,9,35,2873.22,2902.65,336.5,11.8,9,74,4.128,True
Dataset A,Hybrid,full,9,42,2869.32,2775.14,332.64,15.74,9,72,4.33,True
Dataset A,Hybrid,full,9,49,2884.36,2768.72,329.57,13.82,9,72,4.172,True
Dataset A,Hybrid,full,9,56,2891.84,2822.92,326.5,11.69,9,73,4.671,True
Dataset A,Hybrid,full,9,63,2916.65,2937.0,343.88,12.17,9,73,4.42,True
Dataset A,Hybrid,full,9,70,2871.91,2937.15,345.76,12.23,9,73,4.286,True
Dataset A,Hybrid,moderate,7,7,2787.17,2789.87,424.19,15.0,7,74,3.773,True
Dataset A,Hybrid,moderate,7,14,2749.55,2665.31,402.45,12.34,7,74,4.51,True
Dataset A,Hybrid,moderate,7,21,2792.52,2782.66,406.15,8.96,7,74,4.227,True
Dataset A,Hybrid,moderate,7,28,2787.94,2878.42,428.65,18.75,7,76,4.816,True
Dataset A,Hybrid,moderate,7,35,2783.25,2680.44,399.7,10.7,7,74,3.909,True
Dataset A,Hybrid,moderate,7,42,2768.46,2636.14,398.0,17.2,7,75,4.508,True
Dataset A,Hybrid,moderate,7,49,2787.94,2832.14,434.39,14.8,7,76,3.561,True
Dataset A,Hybrid,moderate,7,56,2774.72,2696.79,404.1,14.41,7,74,3.747,True
Dataset A,Hybrid,moderate,7,63,2812.2,2749.72,418.67,17.82,7,74,4.133,True
Dataset A,Hybrid,moderate,7,70,2796.91,2836.65,415.67,9.21,7,75,4.247,True
Dataset A,Hybrid,severe,6,7,2766.94,2726.13,473.59,15.59,6,75,3.887,True
Dataset A,Hybrid,severe,6,14,2768.39,2618.19,463.6,21.95,6,74,4.378,True
Dataset A,Hybrid,severe,6,21,2758.61,2687.24,479.88,24.71,6,74,3.828,True
Dataset A,Hybrid,severe,6,28,2797.35,2669.99,469.0,18.86,6,74,3.973,True
Dataset A,Hybrid,severe,6,35,2796.82,2805.7,491.08,15.5,6,76,3.536,True
Dataset A,Hybrid,severe,6,42,2752.72,2632.29,465.0,15.12,6,73,4.292,True
Dataset A,Hybrid,severe,6,49,2769.46,2714.11,465.17,8.82,6,75,3.525,True
Dataset A,Hybrid,severe,6,56,2806.87,2812.68,491.08,12.5,6,76,3.769,True
Dataset A,Hybrid,severe,6,63,2724.28,2575.95,455.5,23.26,6,73,4.33,True
Dataset A,Hybrid,severe,6,70,2771.51,2725.8,471.95,11.33,6,76,4.175,True
