dataset,algorithm,refill_level,subset_id,refill_ids_used,seed,fitness,total_time,makespan,route_time_std,active_vehicles,refill_visits,distinct_refill_stations_used,computation_time,feasible
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,7,2929.4,2900.23,312.27,10.51,10,72,24,4.077,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,14,2885.5,2909.95,309.5,14.2,10,73,22,4.105,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,21,2922.7,2875.46,304.97,11.3,10,73,23,4.229,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,28,2915.1,2903.56,315.93,11.21,10,73,22,3.826,True
Dataset A,Hybrid,100%,1,47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87,35,2926.1,2935.14,311.88,14.17,10,74,24,3.992,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,7,3111.3,3175.67,336.52,11.26,10,72,14,2.702,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,14,3077.0,3126.64,334.14,14.59,10,73,14,2.619,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,21,3101.6,3028.78,322.0,12.47,10,72,14,2.652,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,28,3129.3,3133.6,336.33,16.24,10,74,14,2.558,True
Dataset A,Hybrid,50%,1,47;49;50;52;54;56;57;60;61;62;64;66;67;68;70;71;74;80;82;85,35,3101.8,3111.26,332.0,12.74,10,74,14,2.503,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,7,3196.0,3135.43,351.0,25.09,10,73,11,2.619,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,14,3173.8,3160.82,351.0,21.05,10,71,13,2.581,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,21,3120.4,3037.49,351.0,29.19,10,72,13,2.83,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,28,3196.3,3075.3,361.0,35.26,10,71,12,2.906,True
Dataset A,Hybrid,50%,2,47;50;52;53;55;56;58;59;61;63;64;65;68;72;76;78;80;81;84;87,35,3214.0,3126.1,351.0,21.86,10,72,11,2.537,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,7,3102.1,3088.59,330.0,21.53,10,71,14,2.552,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,14,3133.7,3076.1,331.0,13.15,10,71,14,2.645,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,21,3082.3,3103.45,329.0,20.08,10,72,14,2.492,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,28,3153.3,3043.49,319.0,10.4,10,72,13,2.844,True
Dataset A,Hybrid,50%,3,50;51;52;55;60;63;66;68;69;72;73;74;76;78;79;81;82;83;84;87,35,3132.3,3111.7,323.5,7.87,10,73,13,2.738,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,7,3207.0,3290.32,341.84,11.17,10,73,16,2.545,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,14,3227.6,3318.89,357.93,14.57,10,73,15,2.554,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,21,3185.8,3288.12,356.27,13.67,10,74,15,2.834,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,28,3211.8,3324.27,354.28,13.82,10,72,15,2.938,True
Dataset A,Hybrid,50%,4,47;48;50;51;56;57;60;66;68;69;70;73;74;78;79;80;81;85;86;87,35,3246.6,3254.78,346.47,10.04,10,73,15,2.72,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,7,3233.7,3159.62,335.1,12.79,10,73,15,2.623,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,14,3189.4,3106.05,344.0,21.28,10,73,14,2.746,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,21,3205.6,3202.85,332.25,10.3,10,73,14,2.967,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,28,3214.7,3192.25,343.0,18.58,10,71,15,2.726,True
Dataset A,Hybrid,50%,5,53;55;56;58;60;63;64;67;68;71;72;73;75;78;81;82;83;84;86;87,35,3163.1,3167.7,338.75,13.5,10,71,14,2.526,True
